title,authors,publication_year,num_pages,average_rating
Haiti  History  and the Gods,Joan Dayan/Colin Dayan,1998,362,3.95
Acts of God: The Unnatural History of Natural Disaster in America,Ted Steinberg,2006,309,3.72
The World's Religions,Huston Smith,1991,416,4.07
Introduction to World Religions,Christopher Partridge,2005,495,3.78
FDR's Folly: How Roosevelt and His New Deal Prolonged the Great Depression,Jim  Powell,2004,352,4.0
Folly and Glory (The Berrybender Narratives  #4),Larry McMurtry,2005,358,3.87
The Argumentative Indian: Writings on Indian History  Culture and Identity,Amartya Sen,2006,432,3.8
Argumentative Indian: Writings On Indian History Culture And Identity,Amartya Sen,2005,391,3.8
Things to Bring  S#!t to Do: And Other Inventories of Anxiety: My Life in Lists,Karen Rizzo,2006,160,3.67
Dumpy's Valentine,Julie Andrews Edwards/Emma Walton Hamilton/Tony Walton/Ruby Randig,2006,24,3.31
Mandy,Julie Andrews Edwards/Johanna Westerman,2006,320,4.24
Giraffes Can't Dance,Giles Andreae/Guy Parker-Rees/Hugh Laurie,2006,32,4.3
The Medici Giraffe and Other Tales of Exotic Animals and Power,Marina Belozerskaya,2006,414,3.53
The Giraffe Who Was Afraid of Heights (Physical & Behavioral Adaptation),David A. Ufer/Kirsten Carlson,2006,32,3.87
Where the Red Fern Grows with Connections,Wilson Rawls/Rafe Martin/Borden Deal/Kemp P. Battle/Robert Bethke/Harold Courlander/Maya Angelou/Nicholasa Mohr/Dick Perry/John R. Erickson,1998,288,4.37
Summer of the Monkeys,Wilson Rawls,1998,288,4.03
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,2007,442,3.88
Doctor Who: Cat's Cradle-Time's Crucible,Marc Platt,1992,275,3.22
Doctor Who: Cat's Cradle-Witch Mark,Andrew    Hunt,1992,256,3.22
Doctor Who: Cat's Cradle-Warhead,Andrew Cartmel,1992,262,3.51
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt/Liz Tuccillo,2006,208,3.66
Do Not Open This Book,Michaela Muntean/Pascal Lemaître,2006,40,3.9
Not Your Mother's Slow Cooker Cookbook,Beth Hensperger/Julie Kaufmann,2004,520,3.78
Hands Are Not for Hitting (Ages 4-7),Martine Agassi/Marieka Heinlen,2001,35,4.04
Not So Big House,Sarah Susanka/Kira Obolensky,2001,208,4.07
Rodinsky's Room,Rachel Lichtenstein/Iain Sinclair,2000,362,3.85
The Rough Guide to Cuba 3,Fiona McAuslan/Matthew  Norman,2005,640,3.82
Cuba: A New History,Richard Gott,2005,384,4.06
Cuba 15,Nancy Osa,2005,304,3.45
Cuba (Jake Grafton #7),Stephen Coonts,2000,461,3.82
The Memory Keeper's Daughter,Kim Edwards,2006,401,3.67
Too Far to Go: The Maples Stories,John Updike,1982,256,4.02
Far to Go (Margaret Thursday  #2),Noel Streatfeild,1986,161,3.81
The Children on the Top Floor,Noel Streatfeild,1985,180,3.79
Desolation Angels,Jack Kerouac/Joyce Johnson,1995,432,3.93
Healing With Whole Foods: Asian Traditions and Modern Nutrition,Paul Pitchford,2002,784,4.41
The New Whole Foods Encyclopedia: A Comprehensive Resource for Healthy Eating,Rebecca  Wood/Paul Pitchford,1999,464,4.2
The Discomfort Zone: A Personal Journey,Jonathan Franzen,2006,6,3.4
The Parrot's Lament  and Other True Tales of Animal Intrigue  Intelligence  and Ingenuity,Eugene Linden,2000,224,3.93
Postscript to the Name of the Rose,Umberto Eco,1984,84,4.05
El nombre de la rosa,Umberto Eco,2006,782,4.12
Baby Names for Dummies,Margaret  Rose/Heather Rose Jones,2005,364,3.32
The Mysterious Flame of Queen Loana,Umberto Eco/Geoffrey Brock,2006,480,3.35
History of Beauty,Umberto Eco/Girolamo De Michele/Alastair McEwen/Agnolo di Cosimo Bronzino,2004,432,3.78
Baudolino,Umberto Eco/William Weaver/R.C.S. Libri,2003,527,3.74
Travels in Hyperreality,Umberto Eco/John Radziewicz/William Weaver,1990,324,3.89
How to Travel with a Salmon and Other Essays,Umberto Eco/William Weaver,1995,256,3.85
A Theory of Semiotics,Umberto Eco,1978,368,4.01
Art and Beauty in the Middle Ages,Umberto Eco/Hugh Bredin,2002,144,3.99
Mouse or Rat?: Translation as Negotiation,Umberto Eco,2004,208,3.8
The Role of the Reader: Explorations in the Semiotics of Texts,Umberto Eco,1979,288,4.06
Libraries,Candida Höfer/Umberto Eco,2014,271,4.28
The Art of War,Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan,2005,273,3.97
Sun Tzu: The Art of War for Managers; 50 Strategic Rules,Sun Tzu/Gerald A. Michaelson,2001,224,3.8
The Art of War,Sun Tzu/Ralph D. Sawyer,2003,5,3.97
The Lost Continent:  Travels in Small-town America,Bill Bryson,1999,379,3.83
Made in America: An Informal History of the English Language in the United States,Bill Bryson,2001,364,3.91
Ulysses,James Joyce/Declan Kiberd,2000,933,3.73
The Long-Lost Map (Ulysses Moore #2),Pierdomenico Baccalario/Iacopo Bruno/Leah D. Janeczko,2006,272,4.0
The Wicked Wit of Charles Dickens,Shelley Klein/Charles Dickens,2002,162,3.55
The Three Musketeers,Alexandre Dumas/Barbara T. Cooper,2004,761,4.07
The Three Musketeers,Alexandre Dumas/Michael Page,2005,24,4.07
The Three Musketeers (Great Illustrated Classics),Malvina G. Vogel/Alexandre Dumas,2005,236,4.08
The Three Musketeers (The d'Artagnan Romances. #1),Alexandre Dumas/Keith Wren,2001,592,4.07
Lisey's Story,Stephen King,2006,513,3.68
King Arthur Flour Whole Grain Baking: Delicious Recipes Using Nutritious Whole Grains,King Arthur Flour,2006,544,4.13
King Dork (King Dork  #1),Frank Portman,2006,344,3.56
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,2002,969,4.41
The Colorado Kid,Stephen King,2006,178,3.32
Stationary Bike,Stephen King/Ron McLarty,2006,44,3.54
Everything's Eventual: 14 Dark Tales,Stephen King,2005,605,3.97
The Mist,Stephen King/ZBS Foundation,1993,2,3.95
Pet Sematary,Stephen King,2005,576,3.98
Insomnia,Stephen King/Bettina Blanch Tyroller,2005,890,3.82
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,2005,11,4.0
The Man in the Black Suit: 4 Dark Tales,Stephen King/Ana Juan/John Cullum/Becky Ann Baker/Íñigo Jáuregui/Peter Gerety/Arliss Howard,2002,128,3.78
The Shining,Stephen King/Campbell Scott,2005,16,4.22
Stephen King: America's Best-Loved Boogeyman,George Beahm,1998,304,3.78
The Illustrated Stephen King Trivia Book,Brian James Freeman/Bev Vincent/Glenn Chadbourne,2005,404,4.23
Gray Matter and Other Stories from Night Shift,Stephen King/John  Glover,1993,0,3.93
Cujo,Stephen King,2006,432,3.71
Thinner,Richard Bachman/Stephen King,1996,320,3.71
Stephen King from A to Z: An Encyclopedia of His Life and Work,George Beahm,1999,251,3.83
Black House (The Talisman  #2),Stephen King/Peter Straub,2003,688,4.01
The Stephen King Universe: A Guide to the Worlds of the King of Horror,Stanley Wiater/Christopher Golden/Hank Wagner,2001,478,4.15
Night Shift,Stephen King,1979,326,4.0
Misery,Stephen King,1988,370,4.16
The Bachman Books,Richard Bachman/Stephen King,1996,704,4.11
Misery,Stephen King/María Mir,2002,368,4.16
Carrie,Stephen King,1999,253,3.96
"Four Past Midnight: Featuring ""The Langoliers""",Stephen King,1995,761,3.93
Christine,Stephen King/Marie Milpois,2001,411,3.77
Sam Walton: Made In America,Sam Walton/John Huey,1993,346,4.15
The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,2007,1099,4.11
The Paradox of Choice: Why More Is Less,Barry Schwartz,2005,265,3.85
Coach: Lessons on the Game of Life,Michael   Lewis,2005,96,3.82
Losers: The Road to Everyplace But the White House,Michael   Lewis,1998,320,3.87
Next: The Future Just Happened,Michael   Lewis,2002,240,3.67
The Ends of the Earth: A Journey to the Frontiers of Anarchy,Robert D. Kaplan,1997,496,4.12
Salvation to the Ends of the Earth: A Biblical Theology of Mission (New Studies in Biblical Theology (InterVarsity Press)  #11),Andreas J. Köstenberger/Peter T. O'Brien,2001,351,3.93
The Ends Of The Earth: A Journey At The Dawn Of The 21st Century,Robert D. Kaplan,1996,476,4.12
When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,2001,264,4.19
When Genius Failed: The Rise And Fall Of Long Term Capital Management,Roger Lowenstein,2009,275,4.19
The Secret of Fantasy Forest (Sweet Valley Kids #67),Francine Pascal/Molly Mia Stewart/Ying-Hwa Hu,1996,96,3.94
Pearl and Wagner: Three Secrets,Kate McMullan/Janet Allison Brown/R.W. Alley,2004,48,3.84
A History of Britain: The Fate Of Empire 1776-2000 (A History of Britain  #3),Simon Schama,2002,576,4.06
The Devil in the White City Murder  Magic and Madness at the Fair that Changed America,Erik Larson,2003,464,3.99
O Historiador,Elizabeth Kostova,2005,544,3.78
Kim,Rudyard Kipling/Jeffrey Meyers,2003,286,3.72
Birds Without Wings,Louis de Bernières,2004,640,4.16
God Knows,Joseph Heller,1997,368,3.8
Picture This,Joseph Heller,2000,352,3.68
Closing Time,Joseph Heller,2003,464,3.02
Good as Gold,Joseph Heller,1997,445,3.36
Something Happened,Joseph Heller,1997,576,3.52
Archie Americana Series: Best of the Eighties  Vol. 1,George Gladir/John L. Goldwater/Steve Geppi/Michael I. Silberkleit,2001,96,3.91
The Moviegoer,Walker Percy,1998,242,3.68
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire/Douglas Smith,2004,409,3.53
Wicked: Memorias de una bruja mala (Los años malvados  #1),Gregory Maguire/Claudia Conde,2007,508,3.53
The Sword and the Shield: The Mitrokhin Archive & the Secret History of the KGB,Christopher M. Andrew/Vasili Mitrokhin,2000,736,3.93
Lay Down My Sword And Shield (Hackberry Holland  #1),James Lee Burke,2003,320,3.89
Sword and Shield,John Terra,1992,16,4.0
A Year in the Merde,Stephen Clarke,2006,276,3.54
Merde!: The Real French You Were Never Taught at School,Geneviève/Michael    Heath,1998,112,3.96
Merde Encore!: More of the Real French You Were Never Taught at School,Geneviève/Michael    Heath,1998,104,3.96
Can't Wait to Get to Heaven,Fannie Flagg/Cassandra Campbell,2006,384,3.91
Green Hills of Africa,Ernest Hemingway/Edward Shenton,2004,200,3.56
Across the River and into the Trees,Ernest Hemingway,1998,272,3.33
Hemingway: The Paris Years,Michael S. Reynolds,1999,402,4.17
Adios Hemingway,Leonardo Padura/John King,2006,229,3.72
By-Line: Selected Articles and Dispatches of Four Decades,Ernest Hemingway/William M. White,1998,512,3.96
The Hemingway Women: Those Who Love Him - The Wives And Others,Bernice Kert,1998,556,4.17
Hemingway: A Biography,Jeffrey Meyers,1999,644,4.0
The Sword of Straw (The Sangreal Trilogy  #2),Amanda Hemingway,2006,336,3.81
A Farewell to Arms,Ernest Hemingway/John Slattery,2006,8,3.8
A Farewell to Arms,Ernest Hemingway,1982,336,3.8
The Big Rock Candy Mountain,Wallace Stegner,1991,563,4.15
Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,Wallace Stegner/Bernard DeVoto,1992,438,4.07
Collected Stories,Wallace Stegner/Lynn Stegner,2006,576,4.22
All the Little Live Things,Wallace Stegner,1991,345,4.09
Where the Bluebird Sings to the Lemonade Springs,Wallace Stegner/T.H. Watkins,2002,234,4.1
Wallace Stegner: His Life and Work,Jackson J. Benson,1997,496,4.19
Letters of E.B. White,E.B. White/Dorothy Lobrano Guth/Martha White/John Updike,2006,736,4.13
Here Is New York,E.B. White/Roger Angell/Barbara Cohen/Judith Stonehill,2000,58,4.3
Charlotte's Web,E.B. White/Garth Williams,2006,179,4.17
Charlotte's Web,E.B. White/Garth Williams,1993,256,4.17
Che Guevara: A Revolutionary Life,Jon Lee Anderson/José Hernández/Leena Nivala,1998,814,4.12
Gatsby's Girl,Caroline Preston,2006,312,3.54
In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,Allan C. Weisbecker,2002,352,3.89
Pipe Dream (Strivers Row),Solomon Jones,2001,341,3.97
The Pleasure of My Company,Steve Martin,2004,176,3.78
Shopgirl,Steve Martin,2000,130,3.43
The Mutineer: Rants  Ravings  and Missives from the Mountaintop  1977-2005,Hunter S. Thompson,2013,752,4.08
Generation of Swine: Tales of Shame and Degradation in the '80's,Hunter S. Thompson,2003,336,3.78
The Gonzo Way: A Celebration of Dr. Hunter S. Thompson,Anita Thompson,2007,112,3.96
The Proud Highway: Saga of a Desperate Southern Gentleman  1955-1967,Hunter S. Thompson/Douglas Brinkley,1998,720,4.14
Einstein: His Life and Universe,Walter Isaacson,2007,675,4.11
The Wise Men: Six Friends and the World They Made,Walter Isaacson/Evan Thomas,1997,864,4.07
Kissinger,Walter Isaacson,2005,896,3.94
Traveling Mercies: Some Thoughts on Faith,Anne Lamott,2000,275,4.16
Where Rainbows End,Cecelia Ahern,2004,454,3.94
Irish Girls Are Back in Town,Cecelia Ahern/Patricia Scanlan/Gemma O'Connor/Sarah Webb/Maeve Binchy/Marian Keyes/Morag Prunty/Cathy Kelly/Colette Caddle/Marita Conlon-McKenna/Martina Devlin/Clare Dowling/Catherine Foley/Aine Greaney/Suzanne Higgins/Rosaleen Linehan/Joan O'Neill/Julie Parsons/Deirdre Purcell/Martina Reilly/Mary Ryan/Annie Sparrow/Una Brankin,2005,384,3.74
There's No Place Like Here,Cecelia Ahern,2007,340,3.67
Final Rain (The Survivalist  #19),Jerry Ahern,1989,220,3.69
The Pursuit of Happyness,Chris Gardner,2006,320,4.19
Harvesting the Heart,Jodi Picoult,1995,453,3.6
The Tenth Circle,Jodi Picoult,2006,416,3.5
Mercy,Jodi Picoult,2001,400,3.58
Picture Perfect,Jodi Picoult,2002,369,3.54
Songs of the Humpback Whale,Jodi Picoult,2001,346,3.2
Salem Falls,Jodi Picoult,2002,434,3.82
The Pact,Jodi Picoult,2006,512,4.01
My Sister's Keeper,Jodi Picoult,2005,423,4.07
Cold Mountain,Charles Frazier,2006,356,3.86
The Collected Songs of Cold Mountain,Hanshan/Red Pine/John Blofeld,2000,320,4.41
For One More Day,Mitch Albom,2006,197,4.1
Just One More Day: A Memoir,Susan    Lewis,2006,340,3.98
Ya Sé Que Te Quiero,Billy Crystal/Elizabeth Sayles,2006,40,4.19
Absolutely Mahvelous,Billy Crystal/Dick Schaap,1986,128,3.79
The Last Innocent Man,Phillip Margolin,2005,352,3.91
Outlander (Outlander  #1),Diana Gabaldon,2005,850,4.23
A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon,2006,980,4.44
Outlander - The Exile of Sharad Hett (Star Wars: Ongoing  Volume 2),Timothy Truman/Rick Leonardi/Tom Raney/Al Rio,2001,144,3.43
The Fiery Cross (Outlander  #5),Diana Gabaldon/Janos Farkas,2005,1443,4.27
Refuge (Outlanders  #36),James Axler,2006,346,3.93
Dragonfly in Amber (Outlander  #2),Diana Gabaldon,1992,743,4.32
Outlander,Matt Keefe,2006,254,3.85
Hydra's Ring (Outlanders  #39),James Axler,2006,348,3.88
Omega Path (Outlanders  #4),James Axler,1998,352,3.87
Savage Sun (Outlanders  #3),James Axler,1997,352,3.84
As I Lay Dying,William Faulkner/E.L. Doctorow,2001,231,3.71
Novels  1926-1929,William Faulkner/Noel Polk/Joseph Blotner,2006,1180,4.42
Light in August,William Faulkner,1991,507,3.94
Novels 1942–1954: Go Down  Moses / Intruder in the Dust / Requiem for a Nun / A Fable,William Faulkner/Noel Polk/Joseph Blotner,1994,1110,4.44
Selected Short Stories,William Faulkner,1993,320,4.09
Three Famous Short Novels: Spotted Horses Old Man the Bear,William Faulkner,1958,320,3.86
The Town,William Faulkner,1961,371,4.1
Voyager (Outlander  #3),Diana Gabaldon,2001,870,4.39
Drums of Autumn (Outlander  #4),Diana Gabaldon,2001,880,4.35
The Outlandish Companion: Companion to Outlander  Dragonfly in Amber  Voyager  and Drums of Autumn,Diana Gabaldon,1999,577,4.08
Lord John and the Private Matter (Lord John Grey  #1),Diana Gabaldon,2005,368,3.7
Cross Stitch (Outlander  #1),Diana Gabaldon,1994,864,4.23
The Eight,Katherine Neville,1997,624,3.91
Your Eight Year Old: Lively and Outgoing,Louise Bates Ames/Frances L. Ilg/Carol C. Haber/Betty David,1990,160,3.86
Eight Mindful Steps to Happiness: Walking the Buddha's Path,Henepola Gunaratana,2001,288,4.3
Eight Men Out: The Black Sox and the 1919 World Series,Eliot Asinof/Stephen Jay Gould,2000,336,4.03
Eleven on Top (Stephanie Plum  #11),Janet Evanovich,2006,321,4.16
El Clan Del Oso Cavernario,Jean M. Auel/Leonor Tejada Conde-Pelayo,1981,548,4.05
The Portable James Joyce,James Joyce/Harry Levin,1986,762,4.17
Dubliners,James Joyce/Jeri Johnson/Thiên Lương,2001,207,3.85
Finnegans Wake,James Joyce,2002,628,3.67
Jane Eyre,Charlotte Brontë/Stevie Davies,2006,590,4.12
Jane Eyre,Charlotte Brontë/Richard J. Dunn,2000,534,4.12
Jane Eyre,Jane E. Gerver/Bill Dodge/Charlotte Brontë,1997,112,4.06
Purity of Blood (Adventures of Captain Alatriste  #2),Arturo Pérez-Reverte/Margaret Sayers Peden,2006,268,3.75
Barnaby Rudge,Charles Dickens/John Bowen/Hablot Knight Browne,2003,744,3.81
No me cogeréis vivo: artículos 2001-2005,Arturo Pérez-Reverte,2005,537,4.16
The Flanders Panel,Arturo Pérez-Reverte/Margaret Jull Costa,2004,295,3.79
The Seville Communion,Arturo Pérez-Reverte/Sonia Soto,2004,400,3.68
Little Birds,Anaïs Nin,2004,148,3.72
The Diary of Anaïs Nin  Vol. 2: 1934-1939,Anaïs Nin/Gunther Stuhlmann,1970,372,4.18
"Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin  1931-1932",Anaïs Nin,1990,304,3.9
House of Incest,Anaïs Nin/Val Telberg,1991,72,3.8
The Diary of Anaïs Nin  Vol. 3: 1939-1944,Anaïs Nin/Gunther Stuhlmann,1971,348,4.18
The Spectator Bird,Wallace Stegner,1990,214,3.99
The Big Book of Boy Stuff,Bart King/Chris Sabatino,2004,292,4.23
The Boys of Everest: Chris Bonington and the Tragedy of Climbing's Greatest Generation,Clint Willis,2006,535,3.86
Roald Dahl: The Storyteller (Famous Lives),Jason Hook,2004,48,4.06
Les Nouvelles Recettes irrésistibles de Roald Dahl,Roald Dahl/Quentin Blake,2002,64,4.14
Relatos de lo inesperado,Roald Dahl/Carmelina Payá/Antonio Samons,2016,320,4.18
Konfetti Ungemütliches + Ungezogenes,Roald Dahl,1987,123,3.59
The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost,2004,272,3.87
The Read-Aloud Handbook,Jim Trelease,2006,432,4.41
The Working Poor: Invisible in America,David K. Shipler,2005,352,4.03
First Comes Love (Hot Water  California #1),Christie Ridgway,2002,384,3.81
Eat Right 4 Your Type,Peter J. D'Adamo/Catherine Whitney,1998,375,3.57
The Annotated Gulliver's Travels,Jonathan Swift/Isaac Asimov,1980,298,3.57
Gulliver's Travels,Jonathan Swift/Robert A. Greenberg,1980,432,3.57
The Chronicles of Narnia CD Box Set,C.S. Lewis/Kenneth Branagh,2004,31,4.26
The Chronicles of Narnia (The Chronicles of Narnia  #1-7),C.S. Lewis/Pauline Baynes,2005,766,4.26
Mere Christianity,C.S. Lewis/Kathleen Norris,2015,227,4.32
Mere Christianity,C.S. Lewis,1996,191,4.32
The Screwtape Letters,C.S. Lewis,2001,224,4.22
The Screwtape Letters/Book & Study Guide,C.S. Lewis,1976,172,4.22
Four Mothers,Shifra Horn/Dalya Bilu,2000,276,3.69
Four Mothers at Chautuaqua,Pansy/Isabella MacDonald Alden,1997,265,4.04
The Trial of God: (as it was held on February 25  1649  in Shamgorod),Elie Wiesel/Robert McAfee Brown/Matthew Fox,1995,208,4.14
Summer for the Gods: The Scopes Trial and America's Continuing Debate Over Science and Religion,Edward J. Larson/Brian Troxell,1998,318,3.9
Dawn (The Night Trilogy  #2),Elie Wiesel/Frances Frenaye,2006,81,3.87
The Forgotten,Elie Wiesel/Stephen Becker,1995,320,3.94
Day (The Night Trilogy  #3),Elie Wiesel/Anne Borchardt,2006,109,3.84
All Rivers Run to the Sea,Elie Wiesel,1996,464,4.15
Father Hunger: Fathers  Daughters  and the Pursuit of Thinness,Margo Maine/Craig  Johnson,2004,288,3.57
Father Hunger: Fathers  Daughters & Food,Margo Maine/Craig L. Johnson,2003,254,3.57
Bold Land  Bold Love (Australian Trilogy  #1),Connie Mason,1998,469,3.83
Leading with a Limp: Turning Your Struggles Into Strengths,Dan B. Allender,2006,206,4.04
Something to Declare,Julia Alvarez,1999,300,3.99
How the García Girls Lost Their Accents,Julia Alvarez,2005,304,3.63
Kesey's One Flew Over the Cuckoo's Nest (Cliffs Notes),Bruce Edward Walker/Ken Kesey/CliffsNotes,2000,112,4.17
One Flew Over the Cuckoo's Nest,Ken Kesey,1963,272,4.2
One Flew over the Cuckoo's Nest,Ken Kesey,1963,272,4.2
The Sea  The Sea,Iris Murdoch/Mary Kinzie,2001,528,3.92
Existentialists and Mystics: Writings on Philosophy and Literature,Iris Murdoch/George Steiner/Peter J. Conradi,1999,576,4.1
A Fairly Honourable Defeat,Iris Murdoch/Peter Reed,2001,432,3.93
The Unicorn,Iris Murdoch,1987,270,3.63
Bruno's Dream,Iris Murdoch,1976,320,3.76
Mystical Paths (Starbridge  #5),Susan Howatch,1996,576,4.23
Glittering Images (Starbridge  #1),Susan Howatch,1996,512,4.07
Scandalous Risks,Susan Howatch,2009,480,4.2
Glamorous Powers (Starbridge  #2),Susan Howatch,1996,512,4.19
A Severed Head,Iris Murdoch,1976,204,3.73
Absolute Truths (Starbridge  #6),Susan Howatch,1996,672,4.34
The Shrouded Walls,Susan Howatch,2010,224,3.4
Waiting Sands,Susan Howatch,2003,192,3.43
The Hollow Man,Dan Simmons,1993,342,3.46
Hardcase (Joe Kurtz  #1),Dan Simmons,2002,291,3.68
Summer of Night (Seasons of Horror  #1),Dan Simmons,1992,600,4.02
Vengeance (Joe Kurtz  #1),Dan Simmons,2001,243,3.68
Carrion Comfort,Dan Simmons,1990,884,3.9
The Rise of Endymion (Hyperion Cantos  #4),Dan Simmons,1998,709,4.18
Children of the Night,Dan Simmons,1993,464,3.71
The Group,Mary McCarthy,1964,397,3.66
Haruki Murakami and the Music of Words,Jay Rubin,2005,462,3.83
Norwegian Wood,Haruki Murakami/Jay Rubin,2000,296,4.03
A Wild Sheep Chase (The Rat  #3),Haruki Murakami/Alfred Birnbaum,2002,353,3.95
Horton Hatches the Egg,Dr. Seuss,2004,64,4.16
Seaward,Susan Cooper,1987,167,3.97
The Boggart,Susan Cooper/Omar Rayyan,2005,196,3.75
Silver on the Tree (The Dark is Rising  #5),Susan Cooper,2000,274,4.15
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,1992,379,4.22
Trouble Is My Business,Raymond Chandler,1988,224,4.06
The Captain's Verses,Pablo Neruda/Donald Devenish Walsh,2004,151,4.25
Herbert the Timid Dragon,Mercer Mayer,1991,48,4.62
Under the Net,Iris Murdoch,1982,252,3.77
Love,Toni Morrison,2005,224,3.75
Beloved,Toni Morrison/A.S. Byatt,2006,360,3.83
Song of Solomon,Toni Morrison,2004,337,4.06
The Bluest Eye,Toni Morrison,2005,216,4.03
100 Love Sonnets,Pablo Neruda/Stephen Tapscott,1986,232,4.39
Jazz,Toni Morrison,1992,229,3.81
Jazz,Toni Morrison,2004,229,3.81
Sula,Toni Morrison,2002,174,3.93
Sula,Toni Morrison,2004,174,3.93
Sula,Toni Morrison,1987,174,3.93
Sula,Toni Morrison,2005,189,3.93
Tar baby,Toni Morrison,1997,431,3.93
Tar Baby,Toni Morrison,2004,320,3.93
Pacific Northwest Hiking: The Complete Guide to More Than 1 000 of the Best Hikes in Washington and Oregon (Foghorn Outdoors),Scott Leonard/Megan McMorris,2005,912,4.24
The Guns of August,Barbara W. Tuchman/Robert K. Massie,2004,606,4.17
It Can't Happen Here,Sinclair Lewis/Michael R.  Meyer,2005,400,3.77
Babbitt,Sinclair Lewis,2003,320,3.66
Main Street,Sinclair Lewis/Brooke Allen,2003,560,3.77
Main Street,Sinclair Lewis,2000,454,3.77
Arrowsmith / Elmer Gantry / Dodsworth,Sinclair Lewis/Richard R. Lingeman,2002,1346,3.9
Elmer Gantry,Sinclair Lewis,1998,352,3.99
Die Geisha,Arthur Golden,2000,573,4.11
Arthur Edward Waite's Quest of the Golden Stairs,Arthur Edward Waite,2003,184,3.9
Arrowsmith,Sinclair Lewis/E.L. Doctorow,1953,428,3.82
Something Wicked This Way Comes,Ray Bradbury,2001,293,3.94
Living on the Ragged Edge: Finding Joy in a World Gone Mad: Workbook,Charles R. Swindoll,2005,268,4.2
A Door of Hope,Jan Frank,1987,197,3.97
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge/Stasi Eldredge,2005,243,3.91
Family (Firstborn  #4),Karen Kingsbury,2006,345,4.42
Found (Firstborn  #3),Karen Kingsbury,2006,342,4.44
Forever (Firstborn  #5),Karen Kingsbury,2007,346,4.43
Ever After (Lost Love  #2),Karen Kingsbury,2007,337,4.32
Return (Redemption  #3),Karen Kingsbury/Gary Smalley,2003,384,4.45
The Red Gloves Collection (Red Gloves  #1-4),Karen Kingsbury,2006,640,4.49
Reunion (Redemption  #5),Karen Kingsbury/Gary Smalley,2004,400,4.5
Redemption (Redemption  #1),Karen Kingsbury/Gary Smalley,2002,384,4.38
Forgiven (Firstborn  #2),Karen Kingsbury,2005,358,4.41
Rejoice (Redemption  #4),Karen Kingsbury/Gary Smalley,2004,344,4.46
Where I'm Calling From: New and Selected Stories,Raymond Carver,2000,544,4.42
All of Us: The Collected Poems,Raymond Carver,2000,416,4.3
Short Cuts: Selected Stories,Raymond Carver/Robert Altman,1993,157,4.11
Cathedral,Raymond Carver,1989,230,4.28
In Pharaoh's Army: Memories of the Lost War,Tobias Wolff/Luann Walther,1995,240,4.08
Old School,Tobias Wolff,2005,196,3.82
This Boy's Life,Tobias Wolff,2000,304,3.98
The Vintage Book of Contemporary American Short Stories,Tobias Wolff,1994,576,4.11
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,1999,356,4.24
The Paris Review Interviews  I: 16 Celebrated Interviews,The Paris Review/Philip Gourevitch/Rebecca West/Elizabeth Bishop/Robert  Stone/Robert Gottlieb/Richard Price/Billy Wilder/Jack Gilbert/Joan Didion/Dorothy Parker/Truman Capote/Ernest Hemingway/T.S. Eliot/Saul Bellow/Jorge Luis Borges/Kurt Vonnegut Jr./James M. Cain,2006,510,4.37
The Living and the Dead: Robert McNamara and Five Lives of a Lost War,Paul Hendrickson,1997,448,4.01
Sons of Mississippi: A Story of Race and Its Legacy,Paul Hendrickson,2004,368,3.81
Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson/Marion Post Wolcott,1992,297,4.07
The Color Purple,Alice Walker,2004,295,4.2
Bright Purple: Color Me Confused (TrueColors  #10),Melody Carlson,2006,213,3.49
Humboldt's Gift,Saul Bellow,1996,487,3.86
The Promise,Chaim Potok,2005,368,4.15
The Gift of Asher Lev,Chaim Potok,1997,384,4.16
In the Beginning,Chaim Potok,1997,416,4.08
My Name Is Asher Lev,Chaim Potok,2003,369,4.21
L'Échiquier du mal,Dan Simmons,2003,999,3.9
L'Éveil d'Endymion II,Dan Simmons,2000,410,4.25
Les Larmes d'Icare,Dan Simmons/Jean-Daniel Brèque,1994,357,3.81
L'Épée de Darwin,Dan Simmons/Guy Abadia,2002,436,3.33
Les Fils des ténèbres,Dan Simmons,1994,464,3.71
Endymion: Pforten der Zeit,Dan Simmons,2001,672,4.17
1 000 Places to See Before You Die,Patricia Schultz,2003,992,3.85
The Crook Factory,Dan Simmons,2000,580,3.8
Swan Song,Robert R. McCammon,1987,956,4.28
